names	A_loading	corrs	color
c.0.HSPA1A	1	0.17987832175706	Red
c.0.HSPA1B	1	0.201219817558745	Red
c.1.HSPA1A	1	0.314895948257517	Red
c.1.HSPA1B	1	0.298345400492945	Red
c.2.HSPA1A	1	0.0688154354421683	Red
c.2.HSPA1B	1	0.12935559700205	Red
c.2.DNAJB1	1	0.00391986657581971	Red
c.2.HSP90AA1	1	0.00958189607422596	Red
c.4.HSPA6	1	-0.111062886314892	Blue
c.4.HSPA1B	1	0.0283101474920312	Red
c.10.KLF2	0.0477691994413547	0.415941397767536	Red
c.11.HSPA1B	1	0.315331488988163	Red
c.10.HSPB1	1	0.290941208071952	Red
c.10.DUSP1	0.0128013905848049	0.273955119576733	Red
c.11.HSPA1A	1	0.272648497384793	Red
c.5.CRYAB	0.36905755076077	-0.261759979118627	Blue
c.9.HSPA1B	0.246305756735475	0.253920245966988	Red
c.10.HSPA1A	1	0.236934157471769	Red
