names	A_loading	corrs	color
c.13.DES	1	-0.106948501575692	Blue
c.13.ACTG2	1	-0.0764540204746803	Blue
c.13.PCP4	1	-0.0344376765580363	Blue
c.13.RERGL	1	-0.135188361391115	Blue
c.13.CNN1	1	-0.0923346348970865	Blue
c.13.BCAM	1	-0.327464463480617	Blue
c.13.TPM1	1	-0.122386945311704	Blue
c.13.SMTN	1	-0.278310526883199	Blue
c.13.MYLK	1	0.0566202949840625	Red
c.13.CSRP1	1	-0.218205906053964	Blue
c.13.CCDC80	0.029175829203451	0.588415527103603	Red
c.3.STC2	0.047161763110918	0.58231795687455	Red
c.1.APOE	0.107998616519773	-0.554878890843812	Blue
c.13.RGS5	0.128242207575778	-0.509888646896942	Blue
c.13.MT1X	0.0291404884229675	0.453397900603147	Red
c.13.TIMP3	0.424914640171456	-0.447833236740578	Blue
c.3.MRPS6	0.0776099200569831	0.446864789643447	Red
c.17.MTCO1	0.0186015654127052	-0.339286229173728	Blue
c.6.ADAMDEC1	0.0396312317055383	0.306620674375231	Red
