names	A_loading	corrs	color
c.13.DUSP1	1	-0.125000189695584	Blue
c.13.CYR61	1	-0.00566202949840625	Blue
c.13.APOE	0.379910859582021	-0.0939230881449071	Blue
c.13.ACTC1	0.363496431800427	-0.0234807720362268	Blue
c.17.GZMB	0.244232986798895	-0.173932062615905	Blue
c.14.PRX	0.164515867340096	0.19338998885046	Red
c.4.DCN	0.155755141184625	0.0121951404581058	Red
c.13.EGR1	0.142017825141102	-0.253049164505695	Blue
c.13.ACTA1	0.0521914362163699	-0.109799153351597	Blue
c.13.FLNA	0.0308265557502238	-0.2717774159235	Blue
c.2.FN1	0.0175490261809509	-0.0174216292258654	Blue
