names	A_loading	corrs	color
c.15.LDHA	1	-0.398606431534658	Blue
c.15.CA6	1	-0.566056192975964	Blue
c.15.PDCD4	1	-0.259275450277457	Blue
c.15.CD74	1	0.305337884619183	Red
c.3.APOD	0.423783552427547	-0.251742542313755	Blue
c.15.S100A1	0.336162336129954	-0.304462990966979	Blue
c.15.ADIRF	0.290404747910319	-0.137494556965318	Blue
c.15.DNAJB1	0.287581499819927	-0.0253719159139149	Blue
c.15.CLDN10	0.245542234848435	0.0749782325061043	Red
c.16.MYC	0.238920759922761	0.31315378533493	Red
c.3.STMN2	0.0419030671188194	0.67160380665711	Red
c.10.KLF6	0.0127787336709221	0.632405140898913	Red
c.3.SAA1	0.0259194133284	0.622929617739669	Red
c.13.CCDC80	0.0863143164264748	0.588415527103603	Red
c.6.CCL19	0.174175727249515	0.58493120125843	Red
c.3.STC2	0.0430783600546347	0.58231795687455	Red
c.3.GSN	0.0986047298970959	-0.566202949840625	Blue
c.0.S100A2	0.00262195011087691	0.523955498967901	Red
c.4.TCIM	0.0262519608284631	0.506969410472683	Red
