names	A_loading	corrs	color
c.13.JUNB	1	-0.180313862487707	Blue
c.13.ZFP36	1	-0.0805750351696274	Blue
c.13.JUN	1	-0.299216481954238	Blue
c.13.FOS	1	-0.0753485464018678	Blue
c.13.HES1	0.652777584070099	-0.381969220777098	Blue
c.13.EGR1	0.566347918573801	-0.253049164505695	Blue
c.13.SOCS3	0.528423511780622	-0.0187282514178053	Blue
c.13.ATF3	0.497799650981005	-0.130226678463344	Blue
c.13.RGS16	0.38435880642886	-0.0607711444798741	Blue
c.13.CEBPD	0.291387950030266	0.0866726053986803	Red
c.10.TXNIP	0.036116521320866	0.635889466744086	Red
c.10.KLF2	0.0401730143170576	0.415941397767536	Red
c.1.POSTN	0.00145119252082065	-0.350174747439894	Blue
c.1.SYT8	0.103277419155697	-0.310105000220404	Blue
c.13.CCL2	0.209629840417159	0.164670197945465	Red
