names	A_loading	corrs	color
c.9.S100A8	1	0.295296615378418	Red
c.9.S100A9	1	0.368031917396406	Red
c.9.S100A12	0.747379821685235	0.464311711582016	Red
c.9.SERPINB2	0.72665478941468	0.163469983661565	Red
c.9.EREG	0.466360937963169	0.173780751528007	Red
c.0.KRT2	0.296316819821253	0.0487805618324231	Red
c.9.TNFAIP6	0.266629013625248	-0.0251336823933285	Blue
c.11.KRT2	0.187499733609114	-0.00522648876775961	Blue
c.5.CRYAB	0.148834222040787	-0.261759979118627	Blue
c.9.CCL20	0.119560394525465	0.215157120939437	Red
c.1.APOE	0.0239861533776588	-0.554878890843812	Blue
c.3.WISP2	0.00593175145775539	-0.553136727921226	Blue
c.7.LYZ	0.0163574787200567	0.344077177210841	Red
c.4.CCL19	0.0997821920040256	0.168118722029601	Red
