names	A_loading	corrs	color
c.5.CXCL3	1	0.278310526883199	Red
c.5.CXCL2	1	0.459495470832199	Red
c.5.SOD2	0.501544904371262	0.172474129336067	Red
c.13.CEBPD	0.238449119838374	0.0866726053986803	Red
c.4.TM4SF1	0.217705882938505	0.0413763694114303	Red
c.13.SOCS3	0.213664925622137	-0.0187282514178053	Blue
c.15.MTND3	0.211919068357365	0.292311383125416	Red
c.13.EGR1	0.210618808702188	-0.253049164505695	Blue
c.17.GZMH	0.206610633735732	-0.0174254177720069	Blue
c.4.DCN	0.155206778939749	0.0121951404581058	Red
c.0.S100A2	0.123092714839764	0.523955498967901	Red
