names	A_loading	corrs	color
c.1.CXCL14	1	0.0169860884952187	Red
c.16.CXCL14	1	-0.185540351255466	Blue
c.16.KRT15	1	-0.295732156109065	Blue
c.4.RGS5	0.177778255295795	0.0126306811887524	Red
c.3.SFRP4	0.175599922536577	-0.0121951404581058	Blue
c.13.CRIP1	0.174280341713355	-0.257628694250626	Blue
c.7.CCL8	0.156887216849904	-0.183402522050373	Blue
c.16.KRT6B	0.104372863971185	-0.266986467886387	Blue
c.6.SFRP4	0.0979648610925935	0.0627315039792249	Red
c.14.CFD	0.0911400612244871	-0.262859733727796	Blue
c.1.APOE	0.000816527549055798	-0.554878890843812	Blue
c.3.WISP2	0.00167441239580325	-0.553136727921226	Blue
c.7.LYZ	0.000798789453317808	0.344077177210841	Red
c.2.SELE	0.0139815355797075	-0.291812289533245	Blue
c.14.PRX	0.011734322922247	0.19338998885046	Red
