names	A_loading	corrs	color
c.5.APOE	1	0.3558367769383	Red
c.14.CD74	1	0.527554523047509	Red
c.14.HLADRA	1	0.498472330331407	Red
c.14.HLADRB1	1	0.503491972887283	Red
c.14.HLADPA1	1	0.445728771703138	Red
c.14.IFITM2	0.509545133459175	0.387096921310585	Red
c.13.MGP	0.237910402530576	0.431620864070815	Red
c.4.IFITM1	0.226038134169513	0.470819529829012	Red
c.14.IER3	0.160002736639845	0.356272317668947	Red
c.4.PHLDA1	0.108115293316585	0.296603237570358	Red
c.5.IGFBP5	0.0438826240487386	-0.597126341716536	Blue
c.13.CCDC80	0.0821982264399712	0.588415527103603	Red
c.6.CCL19	0.00185161749763678	0.58493120125843	Red
c.2.CLU	0.0189799892958556	-0.569687275685798	Blue
c.3.GSN	0.0126159693191393	-0.566202949840625	Blue
c.3.WIF1	0.00479316487373819	-0.563712264924424	Blue
c.1.APOE	0.00188318279790771	-0.554878890843812	Blue
c.3.WISP2	0.009835706907074	-0.553136727921226	Blue
c.3.MMP11	0.0288161947049982	0.503920625358156	Red
