names	A_loading	corrs	color
c.12.RGS1	1	0.173723281499037	Red
c.12.TSC22D3	1	0.303836209632295	Red
c.8.HES1	0.0621124169455835	-0.04529623598725	Blue
c.12.ID2	0.0600467869875526	-0.111062886314892	Blue
c.8.POSTN	0.0171008980492413	0.0439896137953101	Red
c.13.CCDC80	0.015183721133432	0.588415527103603	Red
c.14.HES1	0.0137190010494078	0.210366172902324	Red
c.8.TIMP3	0.0137179096388555	-0.327962170176916	Blue
c.3.CRIP1	0.0136323855221002	-0.0993032865874327	Blue
c.9.CCR7	0.0124316395845158	-0.396342064888437	Blue
c.3.SLPI	0.000604094437746946	-0.649391229394132	Blue
c.3.TPPP3	0.000309824632325792	-0.638502711127966	Blue
c.10.FOS	0.00159676506754883	0.636325007474733	Red
c.10.TXNIP	0.00680619665422593	0.635889466744086	Red
c.3.DIO2	0.00157589075330637	0.633276222360207	Red
c.10.KLF6	0.000325890160254164	0.632405140898913	Red
c.3.TNC	0.00230024984819285	0.621516622632747	Red
c.4.CXCL3	0.00031899705772208	0.607579319252055	Red
c.3.TNXB	0.000786290328557938	-0.604094993406882	Blue
c.5.IGFBP5	0.00177274003088468	-0.597126341716536	Blue
