names	A_loading	corrs	color
c.3.MT1X	1	0.511760358509796	Red
c.6.MT1X	1	0.572300520069678	Red
c.12.AREG	0.058895185240124	0.426109590355226	Red
c.5.MT1X	0.0420906230874923	-0.035714339913024	Blue
c.17.TOB1	0.0209721080465878	0.358310152936892	Red
c.4.MT1X	0.015440603639473	0.101045449510019	Red
c.6.CLU	0.0144518971473655	0.104094234624546	Red
c.3.MFAP5	0.0118648108765864	-0.496080892206517	Blue
c.3.WISP2	0.0111564170375828	-0.553136727921226	Blue
c.7.PLTP	0.0105411609049375	0.17987832175706	Red
c.3.SLPI	0.00021039752982845	-0.649391229394132	Blue
c.3.TPPP3	0.00488867068188258	-0.638502711127966	Blue
c.10.FOS	0.00265341473181697	0.636325007474733	Red
c.10.TXNIP	0.00275908704884414	0.635889466744086	Red
c.3.DIO2	0.00255102768015446	0.633276222360207	Red
c.10.KLF6	0.000540232534618178	0.632405140898913	Red
c.3.TNC	0.00415756330394416	0.621516622632747	Red
c.4.CXCL3	0.00464361743376189	0.607579319252055	Red
c.3.TNXB	0.003073223709146	-0.604094993406882	Blue
c.5.IGFBP5	0.00193191483357824	-0.597126341716536	Blue
