names	A_loading	corrs	color
c.11.KRT16	1	0.429007619686935	Red
c.11.KRT6B	1	0.257965978306358	Red
c.4.MT1X	0.027327026682896	0.101045449510019	Red
c.13.SYNPO2	0.0251661958478588	-0.0644600281357019	Blue
c.16.DCD	0.0236023865096558	-0.161726303835841	Blue
c.2.HSP90AA1	0.0233071176830906	0.00958189607422596	Red
c.17.HSPE1	0.0224434903622773	-0.143292900382743	Blue
c.8.CTGF	0.022024474172968	0.241289564778236	Red
c.11.KRT17	0.0214073223595768	0.392857739043264	Red
c.5.ACTA2	0.0212567020909447	-0.0135017626500457	Blue
c.3.SLPI	0.00987457754657446	-0.649391229394132	Blue
c.3.TPPP3	0.0154467049820443	-0.638502711127966	Blue
c.10.FOS	0.0152649375881694	0.636325007474733	Red
c.10.TXNIP	0.00205007058382336	0.635889466744086	Red
c.3.DIO2	0.0186872834353675	0.633276222360207	Red
c.10.KLF6	0.0113184568921007	0.632405140898913	Red
c.3.TNC	0.0168970942941844	0.621516622632747	Red
c.4.CXCL3	0.0124053302559417	0.607579319252055	Red
c.3.TNXB	0.017810434462781	-0.604094993406882	Blue
c.5.IGFBP5	0.0120362219343695	-0.597126341716536	Blue
