names	A_loading	corrs	color
c.4.TCIM	1	0.506969410472683	Red
c.13.FLNA	1	-0.2717774159235	Blue
c.9.CCR7	0.0208242608698692	-0.396342064888437	Blue
c.16.SPINK5	0.0190130605901471	-0.189024677100639	Blue
c.17.HSPA6	0.01642689926585	0.148973382962716	Red
c.3.PTN	0.0160662475881039	0.158972366686022	Red
c.4.PLN	0.0155251378026115	-0.310976081681697	Blue
c.15.TSC22D1	0.0144038505937321	-0.165462636591729	Blue
c.15.SLC12A2	0.0143327345769834	0.186361889785717	Red
c.16.KRT6B	0.0134557959741113	-0.266986467886387	Blue
c.3.SLPI	0.0119553069830967	-0.649391229394132	Blue
c.3.TPPP3	0.0119969082436241	-0.638502711127966	Blue
c.10.FOS	0.0121040155978032	0.636325007474733	Red
c.10.TXNIP	0.00320956297316354	0.635889466744086	Red
c.3.DIO2	0.0071644590382852	0.633276222360207	Red
c.10.KLF6	0.000188607348507351	0.632405140898913	Red
c.3.TNC	0.0116563074534343	0.621516622632747	Red
c.4.CXCL3	0.0106903451951794	0.607579319252055	Red
c.3.TNXB	0.0102665734772413	-0.604094993406882	Blue
c.5.IGFBP5	0.0118031071796441	-0.597126341716536	Blue
