names	A_loading	AUCs	corrs	color
X_C7.H17.N.O4_179.116_180.123_p	1	0.776859504132231	0.480030883800179	Red
X5.amino.1.phenyl.1H.pyrazole.4.carbonitrile_C10.H8.N4_184.071_185.078_p	1	0.801652892561983	0.523018724140494	Red
X_C6.H7.N3.O8.S_280.996_282.003_p	0.0119037577440895	0.165289256198347	-0.580335844594247	Blue
X_C16.H31.N5_293.257_294.264_p.1	0.0113443812600417	0.512396694214876	0.0214939201701573	Red
Tychonamide.B_C72.H105.N13.O19_1455.77_726.878_n	0.010196738145842	0.512396694214876	0.0214939201701573	Red
Streptoaminal.8n_C17.H33.N.O2_283.251_284.258_p.3	0.0101608722579308	0.231404958677686	-0.465701603686741	Blue
X_C5.H2.N4.O5.S_229.975_230.983_p	0.00958116480965549	0.520661157024793	0.0358232002835955	Red
X_C9.H14.Cl2.N.O2.P3_330.962_329.955_n	0.00948235124152942	0.107438016528926	-0.680640805388314	Blue
X_C8.H25.N6.O3.P_284.174_285.181_p	0.00927345047244448	0.43801652892562	-0.107469600850786	Blue
X_C9.H4.N2.O11.S2_379.926_378.919_n	0.0092403332158285	0.223140495867769	-0.480030883800179	Blue
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00123338241000496	0.859504132231405	0.623323684934561	Red
X_NA_146.997_148.004_p	0.00273401592348499	0.826446280991736	0.566006564480809	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00124757084932598	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00191811308437132	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.000939508619887445	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.00224791466212078	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00129227316254152	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.00605509663130656	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	1.91086813348658e-05	0.785123966942149	0.494360163913618	Red
