names	A_loading	AUCs	corrs	color
X_C4.H6.N8.O3_214.057_213.049_n	1	0.471074380165289	-0.0501524803970337	Blue
D.....Glutamine_C5.H10.N2.O3_146.069_145.062_n	1	0.471074380165289	-0.0501524803970337	Blue
X_C6.H10.N4.O9_282.044_281.037_n	1	0.479338842975207	-0.0358232002835955	Blue
X_C5.H16.N6.O6.P2.S_350.032_349.024_n	1	0.471074380165289	-0.0501524803970337	Blue
X_C5.H13.N10.O7.P3_418.019_417.012_n	1	0.504132231404959	0.0071646400567191	Red
X_C11.H20.N4.O8.P2_398.074_200.044_p	0.016073164944506	0.471074380165289	-0.0501524803970337	Blue
X.R..4.ethoxy.2.hydroxy.4.oxobutanoic.acid_C6.H10.O5_162.053_161.046_n	0.0134061943866273	0.553719008264463	0.0931403207373483	Red
X_NA_1331.761_664.873_n	0.0126683779753735	0.520661157024793	0.0358232002835955	Red
X_NA_1467.735_732.86_n	0.0124424729011363	0.611570247933884	0.193445281531416	Red
X_C24.H7.O14.P3.S2_675.849_676.857_p	0.0121721012532465	0.454545454545455	-0.0788110406239101	Blue
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.0062876538988262	0.859504132231405	0.623323684934561	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00231250367687311	0.826446280991736	0.566006564480809	Red
X_NA_146.997_148.004_p	0.00182860495012519	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00586854757697347	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.00889353279016043	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.00121019888542598	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00309196361068535	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.000563410496484631	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.00306817353205419	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.000432701701863051	0.776859504132231	0.480030883800179	Red
