names	A_loading	AUCs	corrs	color
Delaminomycin.A_C29.H43.N.O6_501.309_502.316_p	1	0.710743801652893	0.365396642892674	Red
X_C16.H43.N10.O6.P_502.313_503.32_p	1	0.685950413223141	0.322408802552359	Red
X_NA_757.81_758.817_p	0.0130348291317054	0.272727272727273	-0.39405520311955	Blue
X_C81.H103.N3.O15.P2_1419.686_710.85_p	0.0129633840964282	0.528925619834711	0.0501524803970337	Red
X_C6.H9.Cl.N2.O3_192.03_193.037_p	0.01230823727893	0.388429752066116	-0.193445281531416	Blue
X_NA_227.957_269.991_p	0.0122717486749731	0.677685950413223	0.308079522438921	Red
X_NA_178.852_177.845_n.1	0.0119251436635305	0.520661157024793	0.0358232002835955	Red
Orthophosphate_H3.O4.P_97.977_98.984_p	0.0119225895073004	0.528925619834711	0.0501524803970337	Red
X_NA_160.014_81.014_p	0.0118731802647345	0.206611570247934	-0.508689444027056	Blue
X_C16.H31.N5.O3_341.241_342.249_p	0.0113058719497962	0.669421487603306	0.293750242325483	Red
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00776152478426152	0.859504132231405	0.623323684934561	Red
X_NA_146.997_148.004_p	0.0107764957435219	0.826446280991736	0.566006564480809	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00749525869513432	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00482749154862888	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.0110391368345427	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	1.30020062172617e-05	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00760200795638507	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.000147174979833786	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.00989670893062114	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.00799767726103583	0.776859504132231	0.480030883800179	Red
