names	A_loading	corrs	color
c.15.S100A11	1	0.132083746798544	Red
c.15.PDCD4	1	-0.259275450277457	Blue
c.16.S100A7	0.0409004706147821	-0.0187282514178053	Blue
c.12.AREG	0.0276823906366477	0.426109590355226	Red
c.2.RBP7	0.021822878268291	-0.462108715216079	Blue
c.4.CXCL3	0.0217392441356221	0.607579319252055	Red
c.8.TIMP3	0.0214780127767395	-0.327962170176916	Blue
c.3.CCL2	0.0210771085971288	0.300958644876824	Red
c.1.CCL27	0.0206668253028136	0.00261324438387981	Red
c.3.APOD	0.0205912248569474	-0.251742542313755	Blue
c.3.SLPI	0.0176136686273959	-0.649391229394132	Blue
c.3.TPPP3	0.0110176649760447	-0.638502711127966	Blue
c.10.FOS	0.00720558775836555	0.636325007474733	Red
c.10.TXNIP	0.00172546284877107	0.635889466744086	Red
c.3.DIO2	0.0051850118828227	0.633276222360207	Red
c.10.KLF6	0.000351473798578795	0.632405140898913	Red
c.3.TNC	0.00766372048862727	0.621516622632747	Red
c.3.TNXB	0.0135258806000551	-0.604094993406882	Blue
c.5.IGFBP5	0.00443425660179155	-0.597126341716536	Blue
