names	A_loading	corrs	color
c.15.SAA1	1	0.276436803182147	Red
c.15.SAA2	1	0.233563577985254	Red
c.15.LTF	0.25322794536742	0.190316240250528	Red
c.15.SOD2	0.11876914868471	0.17665017266372	Red
c.15.SLC12A2	0.0854845713452693	0.186361889785717	Red
c.9.EREG	0.0270839692404482	0.173780751528007	Red
c.15.MALAT1	0.0266327652299299	0.344512717941488	Red
c.15.CD59	0.0211508499834299	-0.130775986929252	Blue
c.8.THBS4	0.0164228265915015	-0.0771578322882585	Blue
c.10.CSF2	0.013666922851753	-0.0449585376743738	Blue
c.3.SLPI	0.000464258682493938	-0.649391229394132	Blue
c.3.TPPP3	0.00107806201215798	-0.638502711127966	Blue
c.10.FOS	4.3179479530601e-05	0.636325007474733	Red
c.10.TXNIP	0.00109128945291222	0.635889466744086	Red
c.3.DIO2	0.00114365153910892	0.633276222360207	Red
c.10.KLF6	0.000604043878813081	0.632405140898913	Red
c.3.TNC	0.000899563532784541	0.621516622632747	Red
c.4.CXCL3	0.00228311605624456	0.607579319252055	Red
c.3.TNXB	0.0021018664317934	-0.604094993406882	Blue
c.5.IGFBP5	0.0031729420416571	-0.597126341716536	Blue
