names	A_loading	corrs	color
c.2.IL6	1	-0.182056025410293	Blue
c.2.CSF3	1	-0.235191994549183	Blue
c.1.CCL2	0.0299075370342385	0.27047079373156	Red
c.5.MT1X	0.0208124785892834	-0.035714339913024	Blue
c.1.NEAT1	0.0171491164557096	0.252613623775048	Red
c.10.XCL2	0.0156442119384816	0.0572630420997826	Red
c.17.CCL4	0.0148357958767435	-0.0609757022905288	Blue
c.0.LOR	0.0143588611267678	-0.304442970721998	Blue
c.1.FGFBP1	0.0141698497118294	-0.0174216292258654	Blue
c.12.ID2	0.0132476206882608	-0.111062886314892	Blue
c.3.SLPI	0.00609461666556267	-0.649391229394132	Blue
c.3.TPPP3	0.00371094813308117	-0.638502711127966	Blue
c.10.FOS	0.0027968196533173	0.636325007474733	Red
c.3.DIO2	0.00042029796656462	0.633276222360207	Red
c.10.KLF6	0.00632673904065554	0.632405140898913	Red
c.3.TNC	0.00605240196452377	0.621516622632747	Red
c.4.CXCL3	0.000497473221779076	0.607579319252055	Red
c.3.TNXB	0.00431093005339662	-0.604094993406882	Blue
c.5.IGFBP5	0.00541258095314375	-0.597126341716536	Blue
c.13.CCDC80	0.0123370647027312	0.588415527103603	Red
